subject,stimulus,response,reactionTime
AL_23_1_1_0,"211,plop,171",2,3865738968271760
AL_23_1_1_0,"166,plop,206",1,4384164329059420
AL_23_1_1_0,"181,plop,191",2,3754783741105350
AL_23_1_1_0,"191,plop,171",2,3.92440090505406E+016
AL_23_1_1_0,"181,plop,166",2,3.71225311877206E+016
AL_23_1_1_0,"201,plop,221",1,4270721060130750
AL_23_1_1_0,"191,plop,206",1,4323143198993060
AL_23_1_1_0,"176,plop,211",1,4039848714973780
AL_23_1_1_0,"171,plop,186",1,3637115768995140
AL_23_1_1_0,"201,plop,191",2,4358569499943410
AL_23_1_1_0,"221,plop,166",2,3.73531379587948E+016
AL_23_1_1_0,"191,plop,166",2,3.9204562459141E+016
AL_23_1_1_0,"196,plop,161",2,3.85884649576619E+016
AL_23_1_1_0,"211,plop,186",2,3.65920445686206E+016
AL_23_1_1_0,"201,plop,171",2,3.84386541824788E+016
AL_23_1_1_0,"171,plop,166",2,4.19100950695574E+016
AL_23_1_1_0,"206,plop,161",2,3619586834125220
AL_23_1_1_0,"211,plop,216",1,4.15621550185606E+016
AL_23_1_1_0,"201,plop,211",1,3.7261781360954E+016
AL_23_1_1_0,"181,plop,201",1,4499224273394790
AL_23_1_1_0,"181,plop,211",1,4032941277045760
AL_23_1_1_0,"206,plop,196",1,3833443472068760
AL_23_1_1_0,"216,plop,221",1,442166943186894
AL_23_1_1_0,"221,plop,186",2,3.47503590108827E+016
AL_23_1_1_0,"221,plop,211",2,4413671478070320
AL_23_1_1_0,"216,plop,201",2,4088522775936870
AL_23_1_1_0,"196,plop,221",1,4058041212055830
AL_23_1_1_0,"166,plop,161",2,3696876844763760
AL_23_1_1_0,"161,plop,211",1,3.82329963184893E+016
AL_23_1_1_0,"196,plop,176",2,3902359798923130
AL_23_1_1_0,"201,plop,186",2,39604173399508
AL_23_1_1_0,"161,plop,171",2,455817139185965
AL_23_1_1_0,"201,plop,166",2,3.5789759288542E+016
AL_23_1_1_0,"176,plop,201",2,3901156433299180
AL_23_1_1_0,"171,plop,216",2,4329971437714990
AL_23_1_1_0,"211,plop,166",2,3715136721171440
AL_23_1_1_0,"166,plop,216",1,3.8461460577324E+016
AL_23_1_1_0,"221,plop,191",2,3.8185486680828E+016
AL_23_1_1_0,"206,plop,181",2,4160164622031150
AL_23_1_1_0,"221,plop,206",2,3.89858551500365E+016
AL_23_1_1_0,"216,plop,176",2,3913069245312360
AL_23_1_1_0,"186,plop,196",1,4.51032326733693E+016
AL_23_1_1_0,"211,plop,191",2,4153894511889670
AL_23_1_1_0,"176,plop,221",1,3733786688093100
AL_23_1_1_0,"186,plop,181",1,409054788891226
AL_23_1_1_0,"171,plop,176",1,3.57424501366913E+016
AL_23_1_1_0,"191,plop,216",1,3.66000506225973E+016
AL_23_1_1_0,"161,plop,201",1,3.98006707280874E+016
AL_23_1_1_0,"196,plop,181",2,4220976428966970
AL_23_1_1_0,"206,plop,176",2,3.78026165990159E+016
AL_23_1_1_0,"206,plop,201",2,4195821260940280
AL_23_1_1_0,"216,plop,196",2,3875189929176120
AL_23_1_1_0,"176,plop,161",2,3921106336079540
AL_23_1_1_0,"186,plop,216",1,4374991164915260
AL_23_1_1_0,"216,plop,181",2,374409815100953
AL_23_1_1_0,"166,plop,186",1,3.83855828307569E+016
AL_23_1_1_0,"186,plop,176",2,3800106475967910
AL_23_1_1_0,"196,plop,211",1,4.20596917383373E+016
AL_23_1_1_0,"176,plop,181",1,3733350310381500
AL_23_1_1_0,"186,plop,206",1,3.54483226211742E+016
AL_23_1_1_0,"176,plop,191",2,4627335359714930
AL_23_1_1_0,"161,plop,221",1,3.8713831779547E+016
AL_23_1_1_0,"221,plop,171",2,3.98663696590811E+016
AL_23_1_1_0,"161,plop,181",1,3.96312222993001E+016
AL_23_1_1_0,"171,plop,206",1,3680305341165510
AL_23_1_1_0,"211,plop,206",1,3.85925975898281E+016
AL_23_1_1_0,"166,plop,196",1,3.96936653591692E+016
AL_23_1_1_0,"166,plop,176",2,534282158864662
AL_23_1_1_0,"206,plop,216",1,3622822412196550
AL_23_1_1_0,"161,plop,191",1,3940665729250760
AL_23_1_1_0,"181,plop,171",2,3.87714763814583E+016
AL_23_1_1_0,"171,plop,196",1,5089422671962530
